Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2006-10-02,55.59,56.49,54.9,55.8,327200.0,0.0,1.0,23.046856921335,23.41998466426,22.760792318426,23.133920061351,654400.0
2006-10-03,52.76,54.16,52.1,52.8,1800200.0,0.0,1.0,21.873577463027,22.453998396465,21.599950451548,21.890160918268,3600400.0
2006-10-04,52.61,53.63,51.99,53.52,490200.0,0.0,1.0,21.811389505872,22.234267614521,21.554345949635,22.188663112608,980400.0
2006-10-05,53.41,54.5,53.28,54.44,403600.0,0.0,1.0,22.143058610695,22.594957766015,22.089162381161,22.570082583153,807200.0
2006-10-06,54.42,55.5,53.9,55.0,678000.0,0.0,1.0,22.561790855533,23.009544147043,22.346205937398,22.802250956529,1356000.0
2006-10-09,54.81,55.13,54.02,55.02,351600.0,0.0,1.0,22.723479544134,22.856147186062,22.395956303122,22.810542684149,703200.0
2006-10-10,54.94,55.33,54.59,54.83,291800.0,0.0,1.0,22.777375773667,22.939064462268,22.632270540307,22.731771271754,583600.0
2006-10-11,54.57,55.08,54.2,54.87,297400.0,0.0,1.0,22.623978812687,22.835417867011,22.470581851707,22.748354726995,594800.0
2006-10-12,55.0,55.78,54.59,55.77,269000.0,0.0,1.0,22.802250956529,23.125628333731,22.632270540307,23.12148246992,538000.0
2006-10-13,55.61,56.2,55.58,55.86,329400.0,0.0,1.0,23.055148648956,23.299754613762,23.042711057525,23.158795244213,658800.0
2006-10-16,55.96,56.11,55.32,55.96,478600.0,0.0,1.0,23.200253882316,23.26244183947,22.934918598458,23.200253882316,957200.0
2006-10-17,55.51,55.59,54.63,55.3,373600.0,0.0,1.0,23.013690010853,23.046856921335,22.648853995549,22.926626870837,747200.0
2006-10-18,55.45,55.58,54.84,55.3,320600.0,0.0,1.0,22.988814827991,23.042711057525,22.735917135564,22.926626870837,641200.0
2006-10-19,55.31,55.51,55.02,55.51,235800.0,0.0,1.0,22.930772734647,23.013690010853,22.810542684149,23.013690010853,471600.0
2006-10-20,55.52,55.52,54.67,55.16,299200.0,0.0,1.0,23.017835874663,23.017835874663,22.66543745079,22.868584777493,598400.0
2006-10-23,55.05,56.06,54.93,55.98,418400.0,0.0,1.0,22.82298027558,23.241712520418,22.773229909857,23.208545609936,836800.0
2006-10-24,55.67,56.79,55.33,56.14,342800.0,0.0,1.0,23.080023831817,23.544360578569,22.939064462268,23.274879430901,685600.0
2006-10-25,56.22,56.73,55.63,56.42,456400.0,0.0,1.0,23.308046341383,23.519485395707,23.063440376576,23.390963617588,912800.0
2006-10-26,56.31,57.57,56.13,56.99,498400.0,0.0,1.0,23.345359115675,23.86773795577,23.27073356709,23.627277854774,996800.0
2006-10-27,58.05,58.48,56.39,57.13,1143200.0,0.0,1.0,24.066739418664,24.245011562506,23.378526026157,23.685319948118,2286400.0
2006-10-30,57.0,57.26,56.33,56.93,327800.0,0.0,1.0,23.631423718584,23.739216177652,23.353650843296,23.602402671912,655600.0
2006-10-31,56.4601,56.98,55.6,55.84,542400.0,0.0,1.0,23.407588531468,23.623131990964,23.051002785146,23.150503516592,1084800.0
2006-11-01,55.72,55.99,54.55,54.65,274000.0,0.0,1.0,23.100753150869,23.212691473746,22.615687085066,22.657145723169,548000.0
2006-11-02,54.36,54.88,53.7,54.46,483200.0,0.0,1.0,22.536915672671,22.752500590806,22.263288661193,22.578374310774,966400.0
2006-11-03,54.66,55.18,54.0,54.43,260000.0,0.0,1.0,22.661291586979,22.876876505114,22.387664575501,22.565936719343,520000.0
2006-11-06,54.61,55.76,54.57,55.59,669000.0,0.0,1.0,22.640562267928,23.11733660611,22.623978812687,23.046856921335,1338000.0
2006-11-07,55.72,56.77,55.66,55.76,340400.0,0.0,1.0,23.100753150869,23.536068850948,23.075877968007,23.11733660611,680800.0
2006-11-08,55.4,56.21,55.16,55.99,250200.0,0.0,1.0,22.96808550894,23.303900477572,22.868584777493,23.212691473746,500400.0
2006-11-09,56.12,56.17,54.84,55.27,206000.0,0.0,1.0,23.26658770328,23.287317022331,22.735917135564,22.914189279406,412000.0
2006-11-10,55.14,56.0,54.84,55.94,252600.0,0.0,1.0,22.860293049873,23.216837337557,22.735917135564,23.191962154695,505200.0
2006-11-13,55.91,56.51,55.43,55.98,212200.0,0.0,1.0,23.179524563264,23.428276391881,22.980523100371,23.208545609936,424400.0
2006-11-14,56.03,57.29,55.14,57.2,405000.0,0.14,1.0,23.286129797695,23.809787187398,22.916244816079,23.772383088134,810000.0
2006-11-15,56.82,58.4,56.82,57.99,935800.0,0.0,1.0,23.614454669017,24.271104411661,23.614454669017,24.100707959456,1871600.0
2006-11-16,58.01,58.22,57.43,57.78,381600.0,0.0,1.0,24.109019981515,24.196296213132,23.86797134181,24.013431727839,763200.0
2006-11-17,59.0,60.17,58.57,58.95,646400.0,0.0,1.0,24.520465073425,25.006718363864,24.341756599161,24.499685018278,1292800.0
2006-11-20,58.82,60.32,58.73,59.87,580400.0,0.0,1.0,24.445656874896,25.069058529305,24.408252775631,24.882038032982,1160800.0
2006-11-21,59.94,60.83,59.67,60.47,536800.0,0.0,1.0,24.911130110188,25.281015091804,24.798917812394,25.131398694746,1073600.0
2006-11-22,60.86,61.37,60.47,61.02,590800.0,0.0,1.0,25.293483124892,25.505439687391,25.131398694746,25.359979301362,1181600.0
2006-11-24,60.47,61.06,60.19,60.55,163600.0,0.0,1.0,25.131398694746,25.37660334548,25.015030385923,25.164646782981,327200.0
2006-11-27,60.38,60.47,59.04,59.14,700200.0,0.0,1.0,25.093994595481,25.131398694746,24.537089117542,24.578649227836,1400400.0
2006-11-28,59.04,59.14,58.44,58.91,588000.0,0.0,1.0,24.537089117542,24.578649227836,24.287728455779,24.48306097416,1176000.0
2006-11-29,59.0,59.7,58.8101,59.18,379200.0,0.0,1.0,24.520465073425,24.811385845482,24.441542423977,24.595273271954,758400.0
2006-11-30,59.15,59.33,58.53,58.85,448200.0,0.0,1.0,24.582805238866,24.657613437395,24.325132555043,24.458124907984,896400.0
2006-12-01,58.91,59.82,58.11,58.89,393800.0,0.0,1.0,24.48306097416,24.861257977835,24.150580091809,24.474748952101,787600.0
2006-12-04,58.85,59.67,58.85,59.66,452400.0,0.0,1.0,24.458124907984,24.798917812394,24.458124907984,24.794761801365,904800.0
2006-12-05,59.96,59.96,59.12,59.28,520800.0,0.0,1.0,24.919442132247,24.919442132247,24.570337205778,24.636833382248,1041600.0
2006-12-06,59.14,61.46,59.0,61.32,786200.0,0.0,1.0,24.578649227836,25.542843786656,24.520465073425,25.484659632244,1572400.0
2006-12-07,61.56,62.55,60.83,61.1,657000.0,0.0,1.0,25.58440389695,25.99584898886,25.281015091804,25.393227389598,1314000.0
2006-12-08,60.82,60.94,60.13,60.36,251000.0,0.0,1.0,25.276859080775,25.326731213127,24.990094319746,25.085682573422,502000.0
2006-12-11,60.35,60.77,59.95,60.5,237400.0,0.0,1.0,25.081526562393,25.256079025628,24.915286121217,25.143866727834,474800.0
2006-12-12,60.59,60.68,59.47,59.9,416200.0,0.0,1.0,25.181270827098,25.218674926363,24.715797591806,24.89450606607,832400.0
2006-12-13,60.09,60.46,59.6,59.84,336400.0,0.0,1.0,24.973470275629,25.127242683716,24.769825735188,24.869569999894,672800.0
2006-12-14,60.02,60.65,59.54,60.29,452400.0,0.0,1.0,24.944378198423,25.206206893275,24.744889669012,25.056590496217,904800.0
2006-12-15,60.43,60.53,58.72,58.72,646800.0,0.0,1.0,25.114774650628,25.156334760922,24.404096764602,24.404096764602,1293600.0
2006-12-18,58.97,59.03,57.28,57.38,787600.0,0.0,1.0,24.507997040337,24.532933106513,23.805631176369,23.847191286663,1575200.0
2006-12-19,57.37,57.72,56.64,56.99,603800.0,0.0,1.0,23.843035275634,23.988495661662,23.539646470488,23.685106856517,1207600.0
2006-12-20,56.85,57.0,56.35,56.86,836200.0,0.0,1.0,23.626922702105,23.689262867546,23.419122150635,23.631078713134,1672400.0
2006-12-21,56.86,57.93,55.46,55.61,939400.0,0.0,1.0,23.631078713134,24.07577189328,23.049237169019,23.11157733446,1878800.0
2006-12-22,56.46,56.75,55.39,56.44,625600.0,0.0,1.0,23.464838271959,23.585362591811,23.020145091814,23.4565262499,1251200.0
2006-12-26,56.23,56.89,56.23,56.52,496800.0,0.0,1.0,23.369250018283,23.643546746223,23.369250018283,23.489774338135,993600.0
2006-12-27,56.49,57.21,56.25,56.97,335600.0,0.0,1.0,23.477306305047,23.776539099163,23.377562040341,23.676794834458,671200.0
2006-12-28,56.66,56.75,55.87,56.39,425600.0,0.0,1.0,23.547958492547,23.585362591811,23.219633621224,23.435746194753,851200.0
2006-12-29,56.2,56.32,55.39,55.7,457200.0,0.0,1.0,23.356781985194,23.406654117547,23.020145091814,23.148981433725,914400.0
2007-01-03,55.89,57.0,55.7,56.55,771000.0,0.0,1.0,23.227945643283,23.689262867546,23.148981433725,23.502242371223,1542000.0
2007-01-04,56.24,57.19,55.86,57.07,391000.0,0.0,1.0,23.373406029312,23.768227077104,23.215477610195,23.718354944752,782000.0
2007-01-05,56.9,56.9,55.57,56.16,701800.0,0.0,1.0,23.647702757252,23.647702757252,23.094953290343,23.340157941077,1403600.0
2007-01-08,56.16,56.21,55.3,55.76,457000.0,0.0,1.0,23.340157941077,23.360937996224,22.982740992549,23.173917499901,914000.0
2007-01-09,55.93,55.93,54.27,55.11,870000.0,0.0,1.0,23.244569687401,23.244569687401,22.554671856521,22.903776782991,1740000.0
2007-01-10,54.91,55.32,54.4,54.69,550000.0,0.0,1.0,22.820656562403,22.991053014608,22.608699999904,22.729224319756,1100000.0
2007-01-11,54.72,55.49,54.64,55.28,467400.0,0.0,1.0,22.741692352844,23.061705202108,22.708444264609,22.97442897049,934800.0
2007-01-12,56.82,58.16,56.53,57.91,1211800.0,0.0,1.0,23.614454669017,24.171360146956,23.493930349164,24.067459871221,2423600.0
2007-01-16,57.99,59.18,57.91,58.98,912800.0,0.0,1.0,24.100707959456,24.595273271954,24.067459871221,24.512153051366,1825600.0
2007-01-17,58.84,59.47,58.75,59.06,553800.0,0.0,1.0,24.453968896955,24.715797591806,24.41656479769,24.545401139601,1107600.0
2007-01-18,59.11,59.39,58.1,58.26,407000.0,0.0,1.0,24.566181194748,24.682549503571,24.146424080779,24.21292025725,814000.0
2007-01-19,58.09,58.76,57.29,58.43,295000.0,0.0,1.0,24.14226806975,24.420720808719,23.809787187398,24.283572444749,590000.0
2007-01-22,58.37,58.66,57.36,58.11,542400.0,0.0,1.0,24.258636378573,24.379160698425,23.838879264604,24.150580091809,1084800.0
2007-01-23,57.89,58.71,57.64,58.42,395800.0,0.0,1.0,24.059147849162,24.399940753572,23.955247573427,24.27941643372,791600.0
2007-01-24,58.49,59.13,58.26,59.04,481200.0,0.0,1.0,24.308508510926,24.574493216807,24.21292025725,24.537089117542,962400.0
2007-01-25,58.92,59.4,57.44,58.42,975200.0,0.0,1.0,24.48721698519,24.686705514601,23.872127352839,24.27941643372,1950400.0
2007-01-26,61.99,63.37,60.97,62.83,3790800.0,0.0,1.0,25.763112371214,26.33664189327,25.339199246215,26.112217297683,7581600.0
2007-01-29,61.71,64.39,61.65,63.95,1556400.0,0.0,1.0,25.646744062391,26.760555018268,25.621807996214,26.577690532975,3112800.0
2007-01-30,63.08,64.41,62.63,64.27,1425400.0,0.0,1.0,26.216117573418,26.768867040327,26.029097077095,26.710682885915,2850800.0
2007-01-31,63.93,64.94,63.66,64.84,808400.0,0.0,1.0,26.569378510916,26.989135624885,26.457166213122,26.947575514591,1616800.0
2007-02-01,64.77,65.68,64.61,65.52,699800.0,0.0,1.0,26.918483437385,27.29668044106,26.851987260915,27.23018426459,1399600.0
2007-02-02,64.93,65.42,64.64,65.01,454200.0,0.0,1.0,26.984979613855,27.188624154296,26.864455294003,27.018227702091,908400.0
2007-02-05,64.78,66.06,64.53,65.52,653400.0,0.0,1.0,26.922639448415,27.454608860177,26.81873917268,27.23018426459,1306800.0
2007-02-06,65.48,65.86,64.55,65.18,459600.0,0.0,1.0,27.213560220472,27.371488639589,26.827051194738,27.08887988959,919200.0
2007-02-07,65.33,65.36,64.52,65.35,299600.0,0.0,1.0,27.151220055031,27.163688088119,26.81458316165,27.15953207709,599200.0
2007-02-08,65.47,66.77,65.36,66.75,990000.0,0.0,1.0,27.209404209443,27.749685643264,27.163688088119,27.741373621205,1980000.0
2007-02-09,66.72,66.78,64.88,65.0,482800.0,0.0,1.0,27.728905588117,27.753841654293,26.964199558708,27.014071691061,965600.0
2007-02-12,64.54,65.15,63.75,65.07,455400.0,0.0,1.0,26.822895183709,27.076411856502,26.494570312387,27.043163768267,910800.0
2007-02-13,65.44,65.71,65.07,65.41,272000.0,0.14,1.0,27.255147016665,27.367599487546,27.101045482494,27.242652297678,544000.0
2007-02-14,65.5,66.02,64.76,65.26,274000.0,0.0,1.0,27.280136454638,27.496711583744,26.971933386296,27.180178702744,548000.0
2007-02-15,65.17,65.35,64.69,65.17,198000.0,0.0,1.0,27.142694545783,27.217662859704,26.942779041993,27.142694545783,396000.0
2007-02-16,65.25,65.42,64.42,65.38,263600.0,0.0,1.0,27.176013796415,27.246817204007,26.830326571112,27.230157578691,527200.0
