favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
275,Twitter Web Client,"Teamwork makes the dream work. With @Microsoft, we're bringing #Snapdragon processors to #Windows10 devices.… https://t.co/9ekFEind1Z",,False,Thu Dec 08 03:34:06 +0000 2016,160,806703374540279808
119,Sprinklr,"Qualcomm co-founder Irwin Jacobs places his name alongside Edison, Alexander Graham Bell, and Tesla at @InventorsHOF https://t.co/LV4e1lDJKJ",,False,Tue May 10 00:20:25 +0000 2016,50,729828404560838656
0,  HTC Peep,"#churchillclub event with #pauljacobs,#jonrubinstein, @karaswisher is soon to begin...http://twitgoo.com/1r9541",,False,Wed Dec 01 02:24:49 +0000 2010,0,9795022354391040
104,Sprinklr,"Meet the Samsung Gear S smartwatch, powered by a #Snapdragon 400 processor. http://t.co/u4OzldzEEP http://t.co/XGoTSiZDrA",,False,Tue Dec 16 17:45:01 +0000 2014,83,544911087905558528
2,Sprinklr,"@ManuNamboodiri We’re excited for what’s next, too! More bandwidth, new devices, and #IoT on the horizon.",ManuNamboodiri,False,Wed Oct 19 01:48:30 +0000 2016,2,788557404711555072
0,SocialEngage,"Your questions have been answered! If not, ask them @qualcomm_tech. Thanks to those who joined us in the CDMA/EV-DO Q&A webinar today!",,False,Wed Apr 14 00:56:08 +0000 2010,0,12134838934
0,SocialEngage,Covertly track products w/ FreightWatch! Discover the Geo F1 @ booth #2439 Central Hall & http://su.pr/33FDP5  #CTIA #QualcommCTIA,,False,Thu Mar 25 18:35:30 +0000 2010,0,11047409649
0,Twitter Web Client,@C_Genis Happy to hear you had fun using AR.,C_Genis,False,Tue Sep 04 22:45:36 +0000 2012,0,243117636605599744
0,Sprinklr,@JkzSites Glad to hear you're testing out our #Snapdragon BatteryGuru app. Keep us posted on what you think.,joozy89,False,Tue Jul 15 00:53:54 +0000 2014,0,488848899197894656
12,Sprinklr,We're collaborating with @georgeinstitute to improve community healthcare: http://t.co/daaDJPueHy #CCmHI #mhealth http://t.co/19OzMYK3an,,False,Thu Nov 13 02:05:29 +0000 2014,7,532715844955287552
1,Twitter Web Client,@BtheDestroyerMC You're a prospective winner of our OnePlus X sweepstakes! Please follow us so we can DM with more information.,BtheDestroyerMC,False,Thu Nov 19 20:00:38 +0000 2015,0,667432314373320704
0,Sprinklr,@madesun_ Maybe we should put a bird on our headsets next time.,madesun_,False,Thu Feb 04 22:53:48 +0000 2016,1,695379760113778693
0,Twitter Web Client,Wireless Ed Panel: Students don't want to be physically bound by classroom or potential limitations of teachers. #WirelessEd #QualcommCTIA,,False,Tue Mar 23 21:52:53 +0000 2010,1,10945695095
1,TweetDeck,RT @Sglj3: I just entered @SprintFeed's Year of the Snapdragon giveaway! http://t.co/ALVAH0BP #SprintFeedDragon,,False,Tue Feb 07 21:05:56 +0000 2012,2,166991105513095168
2,Sprinklr,@ehsaanet We also had a bit of fun with this: https://t.co/YQMgdHYA6W,ehsaanet,False,Thu Jul 14 00:09:33 +0000 2016,0,753380880664649729
