favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
0,Hootsuite,@MMcarrottop01 Simple and convenient! #paypalit,MyKhill01,False,Tue May 14 23:15:20 +0000 2013,0,334446861526134784
0,Twitter Web Client,@BeingAlison Thanks for the shout out. Do you have a favorite way to #paypalit?,BeingAlison,False,Wed Sep 10 23:37:46 +0000 2014,0,509848234878337027
0,Hootsuite,@ryan_boerner We’re so glad you like it. Feel free to share with us the great ways you #paypalit.,,False,Tue Jun 24 00:55:13 +0000 2014,0,481239085538095105
1,Hootsuite,@AsariOBrien Friends don’t let friends shop with cash. Just #paypalit!,ask_asari,False,Thu Sep 26 00:05:45 +0000 2013,0,383019525287182337
1,Twitter Web Client,"How lovely! MT @ps_rowland ""Her blue eyes peering at an unpainted picture"" #love #soul #poetryfriday #poemgrams #paypalit",ps_rowland,False,Fri Feb 07 22:00:23 +0000 2014,0,431910337491632128
0,Hootsuite,@iampupps We love you right back. What is your favorite way to #paypalit?,iampupps,False,Thu Apr 24 01:00:37 +0000 2014,0,459134782438645761
1,Twitter Web Client,We've expanded order ahead and pay at the table features in Europe with the help of @Rabobank’s MyOrder: http://t.co/dzeCMgd8lc. #paypalit,,False,Wed Jul 23 19:01:34 +0000 2014,3,492021722783043584
17,Twitter for iPhone,#paypalit &amp; checkout faster so that you can spend more time checking out your Valentine 😉: https://t.co/hfblhAxAbY. https://t.co/rooutIOoK2,,False,Fri Feb 12 21:01:10 +0000 2016,5,698250515642077184
0,Hootsuite,@db_DESIGN great to hear! We appreciate the tweet.,,False,Fri Mar 08 23:05:29 +0000 2013,0,310164395428810752
0,Hootsuite,@caraecrowley Thanks for the shout out!,caraecrowley,False,Wed Feb 27 01:55:20 +0000 2013,0,306583264045461504
0,Twitter Web Client,@kygurl62689 That's right! Do you have a favorite sweet treat for when you #TreatYourself? #NationalDessertMonth #paypalit,kygurl62689,False,Thu Oct 10 17:11:26 +0000 2013,0,388351076941852672
3,Hootsuite,Yum! #paypalit for dinner and welcome to #TheFuture. #soeasy MT @TheBennieBlack Who buys Chinese food with @PayPal? This guy.,,False,Tue Apr 08 21:00:11 +0000 2014,1,453638457223413760
83,Twitter Web Client,The #paypalgenie is ready to grant wishes. Tweet us what you want and the genie might just #paypalit for you. http://t.co/xXh8FGfI2l,,False,Tue Sep 23 20:00:43 +0000 2014,39,514504654110326784
3,TweetDeck,What if all 98 million active PayPal account holders gave just a dollar a day to charity? http://bit.ly/jy7kY8 (cc @philanthropr),,False,Tue May 17 15:08:51 +0000 2011,20,70506069855715328
0,Twitter Web Client,@InstantKClassic Try tweeting @askpaypal.  They should be able to help!,,False,Thu Sep 16 19:29:04 +0000 2010,0,24690990175
39,Twitter Web Client,"Spend more time playing, less time paying as you ride into the weekend with that #FridayFeeling. 📷: Chase Daniel. https://t.co/zhuWTM9D4l",,False,Fri May 06 17:44:38 +0000 2016,10,728641639401422848
5,Twitter Web Client,Instead of checking emails @prepostmod made the morning count with an #ATX sunrise: http://t.co/a7bFUURsTH. #paypalit http://t.co/IHOcF5klBp,,False,Fri Jun 27 16:02:51 +0000 2014,5,482554662088765440
6,Hootsuite,"We are happy to welcome Egypt to the PayPal global family. Now, you can #paypalit at thousands of stores worldwide! #PayPalEgypt",,False,Thu May 23 21:00:24 +0000 2013,18,337674396904853506
1,Hootsuite,@helloKellyBrito Thanks for the feedback. How will you #paypalit next?,hellokellybrito,False,Mon Apr 14 20:31:50 +0000 2014,0,455805649881157632
2,TweetDeck,"PayPal leads, others follow: http://bit.ly/k7X1Le (tip @techmeme)",,False,Wed May 11 20:06:15 +0000 2011,1,68406587190026241
0,Twitter Web Client,@tylrsmllr Maybe I can help?  Send me a DM.,TSMWebSolutions,False,Wed May 26 23:28:42 +0000 2010,0,14795514467
13,Twitter Web Client,Want to travel this holiday season? Visit Africa with discounts exclusively for travelers paying via PayPal. https://t.co/T67JgGjW1R,,False,Fri Nov 18 21:52:14 +0000 2016,13,799731970888454144
0,Hootsuite,@kenTEEHEE Thanks for the shout out!,kenTEEHEE,False,Fri Jul 12 18:47:02 +0000 2013,0,355760226672193536
15,Twitter Web Client,So you wanted a mermaid pillow as soon as you saw one? Get one at the speed of now and #paypalit. Just sayin’. https://t.co/Y4znvOgdMV,,False,Thu Jan 14 17:42:34 +0000 2016,14,687691288687153152
0,Sprinklr,Look leaner with our re-imagined app by leaving the wallet at home. No slimming denim required. #paypalit http://t.co/dFiE75zXdt,,False,Mon Oct 28 16:21:28 +0000 2013,4,394861482011549696
0,Hootsuite,"@SaulDCosta Thanks for noticing! Tell us, do you have a favorite way to #paypalit?",SaulDCosta,False,Wed May 28 00:00:07 +0000 2014,0,471440745225023489
0,Twitter Web Client,My thoughts on yesterday's e-commerce leadership series event are now up on the PayPal blog  http://bit.ly/WoF2i (via @anujnayar),anujnayar,False,Wed May 20 23:27:10 +0000 2009,0,1864886694
