,Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume,twitter,avg_sentiment,total_tweets,total_retweets,total_favorites,change
0,2006-10-02,401.9,406.0,400.8,401.44,7296400.0,0.0,1.0,201.57223417655084,203.62858192505507,201.0205311220741,201.3415219901333,7296400.0,,0.0,0.0,0.0,0.0,0.0
1,2006-10-03,401.29,406.46,398.19,404.04,10918400.0,0.0,1.0,201.26628975543198,203.85929411147262,199.7114902382702,202.6455473916238,10918400.0,,0.0,0.0,0.0,0.0,2.6000000000000227
2,2006-10-04,404.97,415.77,403.05,415.7,13310200.0,0.0,1.0,203.11198724677237,208.5287081452713,202.14901464259475,208.4935997690773,13310200.0,,0.0,0.0,0.0,0.0,11.659999999999968
3,2006-10-05,414.7,418.24,410.86,411.81,11568000.0,0.0,1.0,207.99205153773482,209.7675322766873,206.0661063293797,206.54257714915505,11568000.0,,0.0,0.0,0.0,0.0,-3.8899999999999864
4,2006-10-06,410.22,421.91,409.7501,420.5,14658300.0,0.0,1.0,205.74511546132047,211.6082142857143,205.5094379474126,210.90103127952136,14658300.0,,0.0,0.0,0.0,0.0,8.689999999999998
5,2006-10-09,424.8,431.95,423.42,429.0,15151400.0,0.0,1.0,213.05768867429413,216.643758528393,212.36555211504145,215.16419124593259,15151400.0,,0.0,0.0,0.0,0.0,8.5
6,2006-10-10,431.56,437.85,422.39,426.65,19557600.0,0.0,1.0,216.4481547181694,219.60289309331372,211.8489574367587,213.9855529022777,19557600.0,,0.0,0.0,0.0,0.0,-2.3500000000000227
7,2006-10-11,425.02,429.91,423.76,426.5,11259500.0,0.0,1.0,213.16802928518945,215.62060013645433,212.5360785136979,213.9103206675764,11259500.0,,0.0,0.0,0.0,0.0,-0.14999999999997726
8,2006-10-12,428.56,429.68,424.0,427.44,9678300.0,0.0,1.0,214.94351002414191,215.5052440432455,212.65645008922007,214.3817760050383,9678300.0,,0.0,0.0,0.0,0.0,0.9399999999999977
9,2006-10-13,427.76,429.5,425.56,427.3,7237700.0,0.0,1.0,214.54227143906792,215.41496536160386,213.4388653301144,214.31155925265043,7237700.0,,0.0,0.0,0.0,0.0,-0.13999999999998636
10,2006-10-16,427.7,429.2,421.34,421.75,8630100.0,0.0,1.0,214.51217854518737,215.26450089220108,211.32233179384903,211.5279665686995,8630100.0,,0.0,0.0,0.0,0.0,-5.550000000000011
